nohup: ignoring input
IMDB-WIKI: labeled=8540, unlabeled=162269, val=21351, test=21351
label scaler: mean=37.23, std=13.89
ep 1: val_mae=6.836, r2=0.5414
ep 2: val_mae=8.564, r2=0.1523
ep 3: val_mae=6.561, r2=0.5637
ep 4: val_mae=6.481, r2=0.5756
ep 5: val_mae=6.457, r2=0.5798
ep 6: val_mae=6.467, r2=0.5763
ep 7: val_mae=6.579, r2=0.5622
ep 8: val_mae=6.463, r2=0.5734
ep 9: val_mae=6.497, r2=0.5698
ep 10: val_mae=6.697, r2=0.5492
ep 11: val_mae=6.492, r2=0.5670
ep 12: val_mae=6.519, r2=0.5679
ep 13: val_mae=6.519, r2=0.5665
ep 14: val_mae=6.709, r2=0.5416
ep 15: val_mae=6.557, r2=0.5578
ep 16: val_mae=6.797, r2=0.5396
ep 17: val_mae=6.622, r2=0.5511
ep 18: val_mae=6.604, r2=0.5545
ep 19: val_mae=6.676, r2=0.5444
ep 20: val_mae=6.896, r2=0.5153
ep 21: val_mae=6.699, r2=0.5488
ep 22: val_mae=7.140, r2=0.4769
ep 23: val_mae=6.879, r2=0.5211
ep 24: val_mae=6.670, r2=0.5489
ep 25: val_mae=6.831, r2=0.5302
ep 26: val_mae=7.283, r2=0.4132
ep 27: val_mae=6.740, r2=0.5363
ep 28: val_mae=6.907, r2=0.5110
ep 29: val_mae=6.741, r2=0.5372
ep 30: val_mae=7.088, r2=0.4996
TEST hpl: mae=7.097, r2=0.5108
