nohup: ignoring input
IMDB-WIKI: labeled=8540, unlabeled=162269, val=21351, test=21351
label scaler: mean=37.23, std=13.89
Probe trained: MAE=0.569 (normalized), 0.6 years on labeled set
ep 1: val_mae=6.614, r2=0.5640
ep 2: val_mae=6.522, r2=0.5685
ep 3: val_mae=6.285, r2=0.5980
ep 4: val_mae=6.273, r2=0.6004
ep 5: val_mae=6.270, r2=0.5964
ep 6: val_mae=6.216, r2=0.5984
ep 7: val_mae=6.222, r2=0.6036
ep 8: val_mae=6.201, r2=0.6019
ep 9: val_mae=6.146, r2=0.6083
ep 10: val_mae=6.237, r2=0.6026
ep 11: val_mae=6.115, r2=0.6090
ep 12: val_mae=6.225, r2=0.5904
ep 13: val_mae=6.194, r2=0.6055
ep 14: val_mae=6.145, r2=0.6077
ep 15: val_mae=6.175, r2=0.6022
ep 16: val_mae=6.119, r2=0.6081
ep 17: val_mae=6.200, r2=0.5979
ep 18: val_mae=6.182, r2=0.5993
ep 19: val_mae=6.182, r2=0.5961
ep 20: val_mae=6.218, r2=0.5946
ep 21: val_mae=6.127, r2=0.6069
ep 22: val_mae=6.173, r2=0.5996
ep 23: val_mae=6.210, r2=0.5940
ep 24: val_mae=6.240, r2=0.5898
ep 25: val_mae=6.241, r2=0.5968
ep 26: val_mae=6.224, r2=0.5960
ep 27: val_mae=6.232, r2=0.5953
ep 28: val_mae=6.353, r2=0.5881
ep 29: val_mae=6.247, r2=0.5904
ep 30: val_mae=6.273, r2=0.5842
TEST probe: mae=6.254, r2=0.5946
