nohup: ignoring input
UTKFace: labeled=3793, unlabeled=15176, val=2370, test=2370
label scaler: mean=33.19, std=19.70
ep 1: val_mae=7.629, r2=0.7291
ep 2: val_mae=6.408, r2=0.7946
ep 3: val_mae=6.416, r2=0.7969
ep 4: val_mae=5.851, r2=0.8295
ep 5: val_mae=5.739, r2=0.8350
ep 6: val_mae=5.818, r2=0.8289
ep 7: val_mae=5.516, r2=0.8360
ep 8: val_mae=5.505, r2=0.8413
ep 9: val_mae=5.521, r2=0.8344
ep 10: val_mae=5.730, r2=0.8368
ep 11: val_mae=5.483, r2=0.8435
ep 12: val_mae=5.375, r2=0.8449
ep 13: val_mae=5.554, r2=0.8387
ep 14: val_mae=5.550, r2=0.8451
ep 15: val_mae=6.009, r2=0.8017
ep 16: val_mae=5.497, r2=0.8420
ep 17: val_mae=5.509, r2=0.8464
ep 18: val_mae=5.408, r2=0.8500
ep 19: val_mae=5.393, r2=0.8454
ep 20: val_mae=5.281, r2=0.8541
ep 21: val_mae=5.247, r2=0.8503
ep 22: val_mae=5.384, r2=0.8409
ep 23: val_mae=5.241, r2=0.8537
ep 24: val_mae=5.455, r2=0.8394
ep 25: val_mae=5.189, r2=0.8591
ep 26: val_mae=6.325, r2=0.7910
ep 27: val_mae=5.229, r2=0.8488
ep 28: val_mae=5.193, r2=0.8566
ep 29: val_mae=5.397, r2=0.8480
ep 30: val_mae=5.227, r2=0.8510
TEST hpl: mae=5.540, r2=0.8374
